Lane,Type,Value,CellLine,Protein
1,Sample,21955,WT,Rpn8
2,Sample,175207,WT,Rpn8
3,Sample,313938,WT,Rpn8
4,Sample,601797,WT,Rpn8
5,Sample,881703,WT,Rpn8
6,Sample,840391,WT,Rpn8
7,Sample,517756,WT,Rpn8
8,Sample,242672,WT,Rpn8
9,Sample,158542,WT,Rpn8
10,Sample,337488,WT,Rpn8
11,Sample,384406,WT,Rpn8
12,Sample,383262,WT,Rpn8
13,Sample,649467,WT,Rpn8
14,Sample,416074,WT,Rpn8
15,Sample,343894,WT,Rpn8
16,Sample,88459,WT,Rpn8
17,Sample,98955,WT,Rpn8
18,Sample,50400,WT,Rpn8
19,Sample,10629,WT,Rpn8
20,Sample,7534,WT,Rpn8
21,Sample,6443,WT,Rpn8
22,Sample,4740,WT,Rpn8
23,Sample,1826,WT,Rpn8
24,Sample,939,WT,Rpn8
1,Sample,44910,Razul,Rpn8
2,Sample,41485,Razul,Rpn8
3,Sample,54223,Razul,Rpn8
4,Sample,138928,Razul,Rpn8
5,Sample,299601,Razul,Rpn8
6,Sample,131207,Razul,Rpn8
7,Sample,10935,Razul,Rpn8
8,Sample,2292,Razul,Rpn8
9,Sample,387,Razul,Rpn8
10,Sample,9530,Razul,Rpn8
11,Sample,35975,Razul,Rpn8
12,Sample,50311,Razul,Rpn8
13,Sample,18045,Razul,Rpn8
14,Sample,18784,Razul,Rpn8
15,Sample,19883,Razul,Rpn8
16,Sample,3618,Razul,Rpn8
17,Sample,2455,Razul,Rpn8
18,Sample,6081,Razul,Rpn8
19,Sample,2816,Razul,Rpn8
20,Sample,1237,Razul,Rpn8
21,Sample,649,Razul,Rpn8
22,Sample,2117,Razul,Rpn8
23,Sample,2253,Razul,Rpn8
24,Sample,1531,Razul,Rpn8
1,Sample,17921,UIM,Rpn8
2,Sample,5617,UIM,Rpn8
3,Sample,82179,UIM,Rpn8
4,Sample,139521,UIM,Rpn8
5,Sample,643446,UIM,Rpn8
6,Sample,553757,UIM,Rpn8
7,Sample,179077,UIM,Rpn8
8,Sample,289849,UIM,Rpn8
9,Sample,70890,UIM,Rpn8
10,Sample,51921,UIM,Rpn8
11,Sample,25470,UIM,Rpn8
12,Sample,268743,UIM,Rpn8
13,Sample,511302,UIM,Rpn8
14,Sample,618431,UIM,Rpn8
15,Sample,111457,UIM,Rpn8
16,Sample,26821,UIM,Rpn8
17,Sample,9533,UIM,Rpn8
18,Sample,8635,UIM,Rpn8
19,Sample,2843,UIM,Rpn8
20,Sample,921,UIM,Rpn8
21,Sample,1535,UIM,Rpn8
22,Sample,2493,UIM,Rpn8
23,Sample,1546,UIM,Rpn8
24,Sample,433,UIM,Rpn8
1,Sample,559886,WT,Rpn10
2,Sample,617930,WT,Rpn10
3,Sample,628248,WT,Rpn10
4,Sample,438972,WT,Rpn10
5,Sample,272777,WT,Rpn10
6,Sample,180406,WT,Rpn10
7,Sample,134937,WT,Rpn10
8,Sample,75568,WT,Rpn10
9,Sample,236097,WT,Rpn10
10,Sample,374464,WT,Rpn10
