Lane,Type,Value,CellLine,Protein
1,Background,184.572,WT,ECPAS
2,Background,184.003,WT,ECPAS
3,Background,183.806,WT,ECPAS
4,Background,183.653,WT,ECPAS
5,Background,184.616,WT,ECPAS
6,Background,184.027,WT,ECPAS
7,Background,183.511,WT,ECPAS
8,Background,183.665,WT,ECPAS
9,Background,184.046,WT,ECPAS
10,Background,184.542,WT,ECPAS
11,Background,183.796,WT,ECPAS
12,Background,182.936,WT,ECPAS
13,Background,182.837,WT,ECPAS
14,Background,182.773,WT,ECPAS
15,Background,183.56,WT,ECPAS
16,Background,183.516,WT,ECPAS
17,Background,184.062,WT,ECPAS
18,Background,184.804,WT,ECPAS
19,Background,185.695,WT,ECPAS
20,Background,185.947,WT,ECPAS
21,Background,185.844,WT,ECPAS
22,Background,185.8,WT,ECPAS
23,Background,185.212,WT,ECPAS
24,Background,184.79,WT,ECPAS
1,Sample,183.669,WT,ECPAS
2,Sample,184.288,WT,ECPAS
3,Sample,183.641,WT,ECPAS
4,Sample,183.499,WT,ECPAS
5,Sample,184.242,WT,ECPAS
6,Sample,184.267,WT,ECPAS
7,Sample,183.689,WT,ECPAS
8,Sample,183.882,WT,ECPAS
9,Sample,183.833,WT,ECPAS
10,Sample,183.862,WT,ECPAS
11,Sample,182.534,WT,ECPAS
12,Sample,170.012,WT,ECPAS
13,Sample,161.362,WT,ECPAS
14,Sample,149.149,WT,ECPAS
15,Sample,112.522,WT,ECPAS
16,Sample,118.842,WT,ECPAS
17,Sample,143.051,WT,ECPAS
18,Sample,167.07,WT,ECPAS
19,Sample,176.586,WT,ECPAS
20,Sample,185.815,WT,ECPAS
21,Sample,185.443,WT,ECPAS
22,Sample,185.703,WT,ECPAS
23,Sample,185.291,WT,ECPAS
24,Sample,182.556,WT,ECPAS
1,Background,185.666,WT,Rpn8
2,Background,186.328,WT,Rpn8
3,Background,186.899,WT,Rpn8
4,Background,186.281,WT,Rpn8
5,Background,186.106,WT,Rpn8
6,Background,185.982,WT,Rpn8
7,Background,186.488,WT,Rpn8
8,Background,185.913,WT,Rpn8
9,Background,185.754,WT,Rpn8
10,Background,185.982,WT,Rpn8
11,Background,185.833,WT,Rpn8
12,Background,186.014,WT,Rpn8
13,Background,185.546,WT,Rpn8
14,Background,184.793,WT,Rpn8
15,Background,184.837,WT,Rpn8
16,Background,185.142,WT,Rpn8
17,Background,185.536,WT,Rpn8
18,Background,186.124,WT,Rpn8
19,Background,186.344,WT,Rpn8
20,Background,186.524,WT,Rpn8
21,Background,187.687,WT,Rpn8
22,Background,187.3,WT,Rpn8
23,Background,187.182,WT,Rpn8
24,Background,186.488,WT,Rpn8
1,Sample,183.605,WT,Rpn8
2,Sample,185.715,WT,Rpn8
3,Sample,185.358,WT,Rpn8
4,Sample,180.375,WT,Rpn8
5,Sample,173.428,WT,Rpn8
6,Sample,153.074,WT,Rpn8
7,Sample,158.97,WT,Rpn8
8,Sample,169.876,WT,Rpn8
9,Sample,151.725,WT,Rpn8
10,Sample,149.657,WT,Rpn8
11,Sample,138.19,WT,Rpn8
12,Sample,133.929,WT,Rpn8
13,Sample,134.557,WT,Rpn8
14,Sample,135.888,WT,Rpn8
15,Sample,107.526,WT,Rpn8
16,Sample,119.181,WT,Rpn8
17,Sample,141.063,WT,Rpn8
18,Sample,152.39,WT,Rpn8
19,Sample,166.446,WT,Rpn8
20,Sample,185.811,WT,Rpn8
21,Sample,186.379,WT,Rpn8
22,Sample,187.011,WT,Rpn8
23,Sample,187.12,WT,Rpn8
24,Sample,185.775,WT,Rpn8
1,Background,183.478,WT,Rpn10
2,Background,184.085,WT,Rpn10
3,Background,183.201,WT,Rpn10
4,Background,183.573,WT,Rpn10
5,Background,185.009,WT,Rpn10
6,Background,184.104,WT,Rpn10
7,Background,183.624,WT,Rpn10
8,Background,184.425,WT,Rpn10
9,Background,184.315,WT,Rpn10
10,Background,183.592,WT,Rpn10
11,Background,183.624,WT,Rpn10
12,Background,182.805,WT,Rpn10
13,Background,182.222,WT,Rpn10
14,Background,182.441,WT,Rpn10
15,Background,182.553,WT,Rpn10
16,Background,183.695,WT,Rpn10
17,Background,184.8,WT,Rpn10
18,Background,184.627,WT,Rpn10
19,Background,185.64,WT,Rpn10
20,Background,185.685,WT,Rpn10
21,Background,185.807,WT,Rpn10
22,Background,185.741,WT,Rpn10
23,Background,185.162,WT,Rpn10
24,Background,184.493,WT,Rpn10
1,Sample,175.086,WT,Rpn10
2,Sample,176.575,WT,Rpn10
3,Sample,169.116,WT,Rpn10
4,Sample,172.463,WT,Rpn10
5,Sample,180.2,WT,Rpn10
6,Sample,179.294,WT,Rpn10
7,Sample,180.556,WT,Rpn10
8,Sample,181.899,WT,Rpn10
9,Sample,173.132,WT,Rpn10
10,Sample,169.832,WT,Rpn10
11,Sample,143.243,WT,Rpn10
12,Sample,144.001,WT,Rpn10
13,Sample,147.805,WT,Rpn10
14,Sample,146.553,WT,Rpn10
15,Sample,112.909,WT,Rpn10
16,Sample,120.455,WT,Rpn10
17,Sample,138.163,WT,Rpn10
18,Sample,156.721,WT,Rpn10
19,Sample,167.907,WT,Rpn10
20,Sample,185.467,WT,Rpn10
21,Sample,184.687,WT,Rpn10
22,Sample,185.546,WT,Rpn10
23,Sample,184.679,WT,Rpn10
24,Sample,183.802,WT,Rpn10
1,Background,185.724,deltaUIM,ECPAS
2,Background,185.634,deltaUIM,ECPAS
3,Background,185.254,deltaUIM,ECPAS
4,Background,184.922,deltaUIM,ECPAS
5,Background,183.936,deltaUIM,ECPAS
6,Background,182.969,deltaUIM,ECPAS
7,Background,183.723,deltaUIM,ECPAS
8,Background,183.466,deltaUIM,ECPAS
9,Background,184.046,deltaUIM,ECPAS
10,Background,184.598,deltaUIM,ECPAS
