"","Accession","Gene_Name"
"1","Q5T440","IBA57"
"2","Q5T5N4","C6orf118"
"3","Q68DK2","ZFYVE26"
"4","Q6IF99","OR10K2"
"5","Q6P179","ERAP2"
"6","Q6X4W1","NSMF"
"7","Q6ZR08","DNAH12"
"8","Q7L1W4","LRRC8D"
"9","Q7RTY8","TMPRSS7"
"10","Q7Z6Z7","HUWE1"
"11","Q86UE8","TLK2"
"12","Q86WA8","LONP2"
"13","Q86WJ1","CHD1L"
"14","Q86X45","DNAAF11"
"15","Q8IUR7","ARMC8"
"16","Q8IXJ9","ASXL1"
"17","Q8N1G4","LRRC47"
"18","Q8N511","TMEM199"
"19","Q8N6L0","KASH5"
"20","Q8N9I5","FADS6"
"21","Q8NB66","UNC13C"
"22","Q8NCM8","DYNC2H1"
"23","Q8NGN1","OR6T1"
"24","Q8TAD4","SLC30A5"
"25","Q8TBY0","RBM46"
"26","Q8WU68","U2AF1L4"
"27","Q8WW24","TEKT4"
"28","Q8WWX0","ASB5"
"29","Q92499","DDX1"
"30","Q92526","CCT6B"
"31","Q92598","HSPH1"
"32","Q92889","ERCC4"
"33","Q96B01","RAD51AP1"
"34","Q96BY6","DOCK10"
"35","Q96GA7","SDSL"
"36","Q96JB1","DNAH8"
"37","Q96LT4","SAMD8"
"38","Q99453","PHOX2B"
"39","Q99733","NAP1L4"
"40","Q9BWT7","CARD10"
"41","Q9BXF3","CECR2"
"42","Q9BY12","SCAPER"
"43","Q9H0E9","BRD8"
"44","Q9H270","VPS11"
"45","Q9H9F9","ACTR5"
"46","Q9HA38","ZMAT3"
"47","Q9HBA9","FOLH1B"
"48","Q9HCK8","CHD8"
"49","Q9NRX1","PNO1"
"50","Q9NTG1","PKDREJ"
"51","Q9NVA2","SEPTIN11"
"52","Q9NX58","LYAR"
"53","Q9P0M6","MACROH2A2"
"54","Q9P202","WHRN"
"55","Q9UJQ4","SALL4"
"56","Q9UNS2","COPS3"
"57","Q9Y276","BCS1L"
"58","Q9Y2F5","ICE1"
"59","Q9Y487","ATP6V0A2"
"60","A0A1B0GUA6","CCDC195"
"61","A5YKK6","CNOT1"
"62","A6NC57","ANKRD62"
"63","A8K855","EFCAB7"
"64","A8MXV6","CDRT15L2"
"65","G3V0H7","SLCO1B7"
"66","O00139","KIF2A"
"67","O00458","IFRD1"
"68","O00471","EXOC5"
"69","O00567","NOP56"
"70","O00602","FCN1"
"71","O14490","DLGAP1"
"72","O14579","COPE"
"73","O14980","XPO1"
"74","O15042","U2SURP"
"75","O15145","ARPC3"
"76","O15355","PPM1G"
"77","O15397","IPO8"
"78","O43143","DHX15"
"79","O43164","PJA2"
"80","O43169","CYB5B"
"81","O43426","SYNJ1"
"82","O43490","PROM1"
"83","O43815","STRN"
"84","O43913","ORC5"
"85","O43933","PEX1"
"86","O60282","KIF5C"
"87","O60287","URB1"
"88","O60313","OPA1"
"89","O60673","REV3L"
"90","O60784","TOM1"
"91","O60925","PFDN1"
"92","O75113","N4BP1"
"93","O75132","ZBED4"
"94","O75366","AVIL"
"95","O75390","CS"
"96","O75449","KATNA1"
"97","O75475","PSIP1"
"98","O75533","SF3B1"
"99","O75874","IDH1"
"100","O75901","RASSF9"
"101","O76081","RGS20"
"102","O76094","SRP72"
"103","O94868","FCHSD2"
"104","O94964","MTCL2"
"105","O95045","UPP2"
"106","O95071","UBR5"
"107","O95718","ESRRB"
"108","O95835","LATS1"
"109","O95837","GNA14"
"110","O95870","ABHD16A"
"111","P01011","SERPINA3"
"112","P01730","CD4"
"113","P02768","ALB"
"114","P02786","TFRC"
"115","P04114","APOB"
"116","P04792","HSPB1"
