,Rpn10_Razul_KO/wt,,Rpn10_UIM_KO/wt,,Rpn13_KO/wt,,trRpn13/wt,,UCHL5_KO/wt,,USP14_KO/wt,
Gene ,Log2_Ab,Neg_log10 (pvalue),Log2_ Ab,Neg_log10 (pvalue),Log2_Ab,Neg_log10 (pvalue),Log2_ Ab,Neg_log10 (pvalue),Log2_ Ab,Neg_log10 (pvalue),Log2_Ab,Neg_log10(pvalue)
AHNAK,0.68,3.51,0.12,0.70,0.15,1.09,0.12,0.75,0.12,0.84,0.07,0.42
PLEC,0.08,2.00,-0.06,1.36,0.14,2.13,0.15,1.69,-0.09,0.99,0.06,1.32
MYH9,0.21,1.88,0.02,0.30,0.14,1.76,0.18,2.57,-0.07,0.73,0.12,1.60
MKI67,-0.15,1.47,-0.08,0.52,0.06,0.55,-0.02,0.10,0.30,1.71,0.35,2.64
DYNC1H1,0.17,1.41,0.45,3.65,0.21,1.87,0.12,1.29,-0.13,0.98,-0.09,1.01
FLNA,0.75,4.03,0.65,3.67,0.13,1.07,0.26,1.96,0.11,0.86,0.01,0.05
PRKDC,-0.38,1.35,-0.22,0.90,-0.29,1.09,-0.20,0.75,-0.13,0.43,-0.15,0.50
SPTAN1,0.35,3.49,0.48,3.98,-0.04,0.40,0.09,1.77,0.10,2.05,0.11,1.83
FLNB,0.33,2.17,0.05,0.32,-0.01,0.05,0.10,0.57,0.14,0.97,-0.05,0.25
FLNB,0.01,0.02,-0.26,0.52,-0.25,0.63,-0.23,0.48,-0.49,0.69,-0.39,0.79
FASN,-0.70,2.72,-1.00,3.07,0.08,0.45,-0.33,1.67,-0.14,0.81,-0.27,1.49
AKAP12,0.58,2.81,0.50,2.70,0.41,3.03,0.16,1.38,-0.09,0.61,-0.36,2.98
TLN1,0.24,2.18,0.25,2.85,-0.07,0.82,0.07,1.00,0.18,2.07,0.06,0.73
DSP,-0.32,4.62,-0.15,2.94,0.35,3.17,0.12,0.90,-0.01,0.03,0.18,2.66
NUMA1,-0.03,0.17,0.22,1.66,0.00,0.02,0.06,0.43,0.00,0.01,0.20,1.52
TPR,0.01,0.22,0.21,3.11,0.19,2.96,0.04,1.20,-0.15,3.25,0.19,2.68
FLNC,0.78,3.93,0.03,0.15,0.68,3.31,0.34,2.33,-0.31,1.78,0.03,0.18
CLTC,-0.12,1.04,0.21,1.81,0.03,0.23,0.00,0.02,-0.19,1.50,0.00,0.03
HSP90AB1,-0.10,1.46,0.05,0.66,-0.05,0.68,0.03,0.49,0.02,0.26,0.07,0.93
KRT8,0.60,3.90,-0.26,1.78,0.13,1.12,0.01,0.07,-0.67,2.96,-0.15,1.30
MYOF,0.29,3.86,-0.27,3.74,-0.27,3.81,0.16,2.59,0.07,1.16,-0.28,3.41
HSP90AA1,-0.28,0.91,-0.13,0.42,-0.14,0.46,-0.19,0.64,-0.09,0.29,-0.07,0.22
MYH10,0.32,1.56,0.23,2.07,0.17,1.42,0.07,0.58,-0.12,1.24,0.12,1.26
HSPD1,-0.28,4.06,-0.27,3.53,-0.13,3.32,-0.04,0.87,0.09,1.68,-0.13,2.07
RANBP2,-0.04,0.43,0.11,1.12,0.09,0.65,0.10,0.88,0.14,1.33,-0.11,1.09
GCN1,-0.41,1.65,-0.34,1.46,-0.12,0.53,-0.15,0.64,0.05,0.19,-0.28,1.23
SPTBN1,0.50,4.09,0.60,5.21,0.02,0.45,0.09,2.02,0.07,1.22,0.10,2.23
EPRS,-0.08,0.81,-0.15,1.42,0.06,0.67,0.12,1.42,0.12,1.22,-0.04,0.31
RRBP1,0.75,4.68,0.13,1.67,0.02,0.29,0.15,1.92,0.03,0.33,0.07,0.96
