Checked,Protein FDR Confidence: Combined,Master,Accession,Description,Exp. q-value: Combined,Sum PEP Score,Coverage [%],# Peptides,# PSMs,# Unique Peptides,# AAs,MW [kDa],calc. pI,Score Sequest HT: Sequest HT,# Peptides (by Search Engine): Sequest HT,# Razor Peptides,Abundance: F1: Sample,Found in Sample: [S1] F1: Sample,# Protein Groups,Modifications
FALSE,High,Master Protein,Q99460,26S proteasome non-ATPase regulatory subunit 1 OS=Homo sapiens OX=9606 GN=PSMD1 PE=1 SV=2,0,1386.291,83,80,2723,80,953,105.8,5.39,9107.59,80,0,10696161395,High,1,Acetyl [N-Term]; Methyl [K20; R649; K799; K807]; Phospho [T273; T282; T284; T286; S290; S296; S305; T311; S315; S804]; Acetyl [K310]
FALSE,High,Master Protein,Q13200,26S proteasome non-ATPase regulatory subunit 2 OS=Homo sapiens OX=9606 GN=PSMD2 PE=1 SV=3,0,1506.73,89,91,2351,91,908,100.1,5.2,7767.79,91,0,15346397865,High,1,Phospho [S16; S46; S361; S367]; Acetyl [K8; K41]; Methyl [K50; R160; R357; R369]; Acetyl [N-Term]
FALSE,High,Master Protein,Q5VYK3,Proteasome adapter and scaffold protein ECM29 OS=Homo sapiens OX=9606 GN=ECPAS PE=1 SV=2,0,1580.283,78,120,1846,120,1845,204.2,7.12,5875.38,120,0,6067572403,High,1,Methyl [K856; K858]; Met-loss+Acetyl [N-Term]; Phospho [S833]
FALSE,High,Master Protein,P43686,26S proteasome regulatory subunit 6B OS=Homo sapiens OX=9606 GN=PSMC4 PE=1 SV=2,0,921.929,93,51,1581,50,418,47.3,5.21,5330.36,51,2,9008794331,High,1,Phospho [S19; S21; T25; S28]; Acetyl [K159; K174; K409]; Methyl [K159]; Acetyl [N-Term]
FALSE,High,Master Protein,O00231,26S proteasome non-ATPase regulatory subunit 11 OS=Homo sapiens OX=9606 GN=PSMD11 PE=1 SV=3,0,459.636,78,41,1467,41,422,47.4,6.48,4364.83,41,0,7431525216,High,1,Acetyl [K159; K163; K252; K258]; Phospho [S14]; Methyl [K159; K163]; Met-loss+Acetyl [N-Term]
FALSE,High,Master Protein,O00232,26S proteasome non-ATPase regulatory subunit 12 OS=Homo sapiens OX=9606 GN=PSMD12 PE=1 SV=3,0,550.433,79,44,1341,44,456,52.9,7.65,4031.71,44,0,6005913463,High,1,Methyl [K147; K153; K431]; Phospho [T146; T148; T151]
FALSE,High,Master Protein,O43242,26S proteasome non-ATPase regulatory subunit 3 OS=Homo sapiens OX=9606 GN=PSMD3 PE=1 SV=2,0,597.434,75,54,1302,54,534,60.9,8.44,3924.82,54,0,8246914465,High,1,Acetyl [K14; K38]; Methyl [R287]; Phospho [T369]
FALSE,High,Master Protein,P62195,26S proteasome regulatory subunit 8 OS=Homo sapiens OX=9606 GN=PSMC5 PE=1 SV=1,0,493.38,81,43,1285,40,406,45.6,7.55,4088.73,43,1,8015037081,High,1,Met-loss+Acetyl [N-Term]
FALSE,High,Master Protein,P62191,26S proteasome regulatory subunit 4 OS=Homo sapiens OX=9606 GN=PSMC1 PE=1 SV=1,0,609.615,86,48,1208,46,440,49.2,6.21,4293.12,48,1,9839647599,High,1,Phospho [T53]
FALSE,High,Master Protein,P17980,26S proteasome regulatory subunit 6A OS=Homo sapiens OX=9606 GN=PSMC3 PE=1 SV=3,0,648.482,83,38,1188,38,439,49.2,5.24,3717.79,38,0,8809993115,High,1,Methyl [R13; K16; R180]; Acetyl [N-Term]; Phospho [S9; T12; T19]
