Checked,Protein FDR Confidence: Combined,Master,Accession,Description,Exp. q-value: Combined,Sum PEP Score,Coverage [%],# Peptides,# PSMs,# Unique Peptides,# AAs,MW [kDa],calc. pI,Score Sequest HT: Sequest HT,# Peptides (by Search Engine): Sequest HT,# Razor Peptides,Abundance: F2: Sample,,,Found in Sample: [S2] F2: Sample,# Protein Groups,Modifications
FALSE,High,Master Protein,Q13200,26S proteasome non-ATPase regulatory subunit 2 OS=Homo sapiens OX=9606 GN=PSMD2 PE=1 SV=3,0,2317.446,91,103,1436,103,908,100.1,5.2,4174.83,103,0,52993899031,10.72422587,1,High,1,Phospho [S16; S361; S363]; Acetyl [K8; K31]; Acetyl [N-Term]
FALSE,High,Master Protein,Q99460,26S proteasome non-ATPase regulatory subunit 1 OS=Homo sapiens OX=9606 GN=PSMD1 PE=1 SV=2,0,1930.845,82,86,2141,86,953,105.8,5.39,6423.51,86,0,45856218632,10.66139824,0.994141523,High,1,Acetyl [N-Term]; Acetyl [K310; K524]; Phospho [T273; S277; S290; S305; T311; S315]
FALSE,High,Master Protein,Q5VYK3,Proteasome adapter and scaffold protein ECM29 OS=Homo sapiens OX=9606 GN=ECPAS PE=1 SV=2,0,2940.056,77,137,1426,137,1845,204.2,7.12,4151.27,137,0,40595122578,10.60847386,0.989206492,High,1,Met-loss+Acetyl [N-Term]; Phospho [S830; S833; T836]
FALSE,High,Master Protein,P35998,26S proteasome regulatory subunit 7 OS=Homo sapiens OX=9606 GN=PSMC2 PE=1 SV=3,0,840.337,86,55,857,54,433,48.6,5.95,2241.54,55,0,38650993374,10.58716066,0.987219104,High,1,Acetyl [K169]; Met-loss [N-Term]
FALSE,High,Master Protein,P62191,26S proteasome regulatory subunit 4 OS=Homo sapiens OX=9606 GN=PSMC1 PE=1 SV=1,0,1080.842,88,54,930,52,440,49.2,6.21,3046.39,54,1,37396322264,10.57282889,0.985882712,High,1,Acetyl [K86]; Phospho [T53; S129]
FALSE,High,Master Protein,O43242,26S proteasome non-ATPase regulatory subunit 3 OS=Homo sapiens OX=9606 GN=PSMD3 PE=1 SV=2,0,971.297,84,60,742,60,534,60.9,8.44,2161.93,60,0,36104691469,10.55756364,0.984459276,High,1,Phospho [S47]; Acetyl [K14]
FALSE,High,Master Protein,O00231,26S proteasome non-ATPase regulatory subunit 11 OS=Homo sapiens OX=9606 GN=PSMD11 PE=1 SV=3,0,869.195,81,50,1212,50,422,47.4,6.48,3279.94,50,0,35163226523,10.54608872,0.983389276,High,1,Phospho [S14; S23]; Met-loss+Acetyl [N-Term]
FALSE,High,Master Protein,P17980,26S proteasome regulatory subunit 6A OS=Homo sapiens OX=9606 GN=PSMC3 PE=1 SV=3,0,972.086,85,43,1017,43,439,49.2,5.24,2906.13,43,0,32488242438,10.51172622,0.980185082,High,1,Acetyl [K209; K372]; Acetyl [N-Term]; Phospho [S9]
FALSE,High,Master Protein,P43686,26S proteasome regulatory subunit 6B OS=Homo sapiens OX=9606 GN=PSMC4 PE=1 SV=2,0,1082.575,95,56,983,55,418,47.3,5.21,3081.76,56,2,32270772733,10.50880936,0.979913095,High,1,Acetyl [K159]; Acetyl [N-Term]
FALSE,High,Master Protein,P62195,26S proteasome regulatory subunit 8 OS=Homo sapiens OX=9606 GN=PSMC5 PE=1 SV=1,0,957.675,82,47,918,45,406,45.6,7.55,2661.36,47,0,31110505018,10.49290706,0.978430255,High,1,Phospho [S244]; Met-loss+Acetyl [N-Term]; Acetyl [K389]
FALSE,High,Master Protein,P62333,26S proteasome regulatory subunit 10B OS=Homo sapiens OX=9606 GN=PSMC6 PE=1 SV=1,0,678.655,81,36,666,36,389,44.1,7.49,1914.32,36,0,30178499835,10.47969765,0.97719852,High,1,Phospho [S90; T96]
FALSE,High,Master Protein,Q9UNM6,26S proteasome non-ATPase regulatory subunit 13 OS=Homo sapiens OX=9606 GN=PSMD13 PE=1 SV=2,0,770.807,90,42,447,42,376,42.9,5.81,1185.8,42,0,25386469568,10.40460231,0.970196118,High,1,
FALSE,High,Master Protein,O00232,26S proteasome non-ATPase regulatory subunit 12 OS=Homo sapiens OX=9606 GN=PSMD12 PE=1 SV=3,0,984.567,80,56,1176,56,456,52.9,7.65,3200.41,56,0,24030601942,10.38076465,0.967973332,High,1,Phospho [T371]
FALSE,High,Master Protein,Q15008,26S proteasome non-ATPase regulatory subunit 6 OS=Homo sapiens OX=9606 GN=PSMD6 PE=1 SV=1,0,774.164,89,47,659,47,389,45.5,5.62,1707.99,47,0,23365754735,10.36857981,0.966837134,High,1,Met-loss [N-Term]
FALSE,High,Master Protein,Q16401,26S proteasome non-ATPase regulatory subunit 5 OS=Homo sapiens OX=9606 GN=PSMD5 PE=1 SV=3,0,852.671,82,45,508,45,504,56.2,5.48,1409.64,45,0,21773865479,10.33793554,0.963979653,High,1,Acetyl [K100]; Met-loss+Acetyl [N-Term]
FALSE,High,Master Protein,O00487,26S proteasome non-ATPase regulatory subunit 14 OS=Homo sapiens OX=9606 GN=PSMD14 PE=1 SV=1,0,693.157,90,25,434,25,310,34.6,6.52,1285.86,25,0,17310923606,10.23832024,0.954690843,High,1,
FALSE,High,Master Protein,P51665,26S proteasome non-ATPase regulatory subunit 7 OS=Homo sapiens OX=9606 GN=PSMD7 PE=1 SV=2,0,750.858,81,36,661,36,324,37,6.77,2145.69,36,0,15272364774,10.18390629,0.949616915,High,1,Met-loss [N-Term]
FALSE,High,Master Protein,O43396,Thioredoxin-like protein 1 OS=Homo sapiens OX=9606 GN=TXNL1 PE=1 SV=3,0,714.514,90,27,414,27,289,32.2,4.96,1455.65,27,0,14750623845,10.16881039,0.94820927,High,1,Met-loss [N-Term]; Met-loss+Acetyl [N-Term]; Acetyl [N-Term]; Phospho [S113]
FALSE,High,Master Protein,P48556,26S proteasome non-ATPase regulatory subunit 8 OS=Homo sapiens OX=9606 GN=PSMD8 PE=1 SV=2,0,414.477,70,29,350,29,350,39.6,9.7,857.44,29,0,14059816526,10.14797965,0.94626687,High,1,Acetyl [K63]; Phospho [S61; S76; S77; S78]
FALSE,High,Master Protein,P55036,26S proteasome non-ATPase regulatory subunit 4 OS=Homo sapiens OX=9606 GN=PSMD4 PE=1 SV=1,0,420.388,58,20,897,20,377,40.7,4.79,3409.63,20,0,13661008416,10.13548276,0.945101575,High,1,Phospho [S266; S358]; Met-loss [N-Term]
FALSE,High,Master Protein,O14818,Proteasome subunit alpha type-7 OS=Homo sapiens OX=9606 GN=PSMA7 PE=1 SV=1,0,368.299,73,21,287,20,248,27.9,8.46,821.93,21,1,12812020526,10.10761763,0.942503239,High,1,
FALSE,High,Master Protein,P54578,Ubiquitin carboxyl-terminal hydrolase 14 OS=Homo sapiens OX=9606 GN=USP14 PE=1 SV=3,0,1024.756,90,50,596,50,494,56,5.3,1847.76,50,0,12674564787,10.10293306,0.942066418,High,1,Acetyl [K64; K342; K345; K348]; Met-loss [N-Term]; Phospho [T7]
FALSE,High,Master Protein,Q9Y5K5,Ubiquitin carboxyl-terminal hydrolase isozyme L5 OS=Homo sapiens OX=9606 GN=UCHL5 PE=1 SV=3,0,712.353,90,30,286,30,329,37.6,5.33,827.29,30,0,11570809618,10.06336375,0.938376706,High,1,Phospho [Y231; T250]; Met-loss [N-Term]; Met-loss+Acetyl [N-Term]; Acetyl [N-Term]
FALSE,High,Master Protein,P25786,Proteasome subunit alpha type-1 OS=Homo sapiens OX=9606 GN=PSMA1 PE=1 SV=1,0,511.708,95,29,351,29,263,29.5,6.61,937.27,29,0,10571249175,10.02412631,0.934717939,High,1,
FALSE,High,Master Protein,P60900,Proteasome subunit alpha type-6 OS=Homo sapiens OX=9606 GN=PSMA6 PE=1 SV=1,0,406.176,76,22,414,22,246,27.4,6.76,1523.1,22,0,9841674532,9.993068999,0.931821944,High,1,
FALSE,High,Master Protein,P20618,Proteasome subunit beta type-1 OS=Homo sapiens OX=9606 GN=PSMB1 PE=1 SV=2,0,387.237,65,18,386,18,241,26.5,8.13,994.92,18,0,9621923296,9.98326189,0.930907462,High,1,
FALSE,High,Master Protein,P28074,Proteasome subunit beta type-5 OS=Homo sapiens OX=9606 GN=PSMB5 PE=1 SV=3,0,485.199,67,22,442,22,263,28.5,6.92,1215.91,22,0,8632643133,9.936143788,0.926513849,High,1,
FALSE,High,Master Protein,P28066,Proteasome subunit alpha type-5 OS=Homo sapiens OX=9606 GN=PSMA5 PE=1 SV=3,0,458.825,68,16,644,16,241,26.4,4.79,1791.09,16,0,8420891985,9.925358097,0.925508117,High,1,Phospho [S62; S63]
FALSE,High,Master Protein,P25789,Proteasome subunit alpha type-4 OS=Homo sapiens OX=9606 GN=PSMA4 PE=1 SV=1,0,315.898,76,18,208,18,261,29.5,7.72,726.42,18,0,8391950562,9.923862917,0.925368696,High,1,
FALSE,High,Master Protein,P25788,Proteasome subunit alpha type-3 OS=Homo sapiens OX=9606 GN=PSMA3 PE=1 SV=2,0,252.353,62,19,280,19,255,28.4,5.33,680.31,19,0,8069659464,9.906855208,0.923782782,High,1,Phospho [S243; S250]; Met-loss+Acetyl [N-Term]
FALSE,High,Master Protein,P25787,Proteasome subunit alpha type-2 OS=Homo sapiens OX=9606 GN=PSMA2 PE=1 SV=2,0,401.224,74,19,399,18,234,25.9,7.43,1362.36,19,1,6705403240,9.8264249,0.916282911,High,1,Met-loss+Acetyl [N-Term]; Acetyl [K18]; Acetyl [N-Term]
FALSE,High,Master Protein,Q99436,Proteasome subunit beta type-7 OS=Homo sapiens OX=9606 GN=PSMB7 PE=1 SV=1,0,352.011,71,14,271,14,277,29.9,7.68,797.12,14,0,6224162061,9.794080892,0.913266935,High,1,
FALSE,High,Master Protein,P28070,Proteasome subunit beta type-4 OS=Homo sapiens OX=9606 GN=PSMB4 PE=1 SV=4,0,316.957,57,12,268,12,264,29.2,5.97,979.73,12,0,5604113724,9.74850694,0.909017309,High,1,
FALSE,High,Master Protein,P49720,Proteasome subunit beta type-3 OS=Homo sapiens OX=9606 GN=PSMB3 PE=1 SV=2,0,366.415,60,18,331,18,205,22.9,6.55,890.46,18,0,5225776941,9.718150868,0.906186701,High,1,Met-loss+Acetyl [N-Term]
FALSE,High,Master Protein,Q16186,Proteasomal ubiquitin receptor ADRM1 OS=Homo sapiens OX=9606 GN=ADRM1 PE=1 SV=2,0,369.284,35,22,409,22,407,42.1,5.07,1190.33,22,0,5059489809,9.704106725,0.90487713,High,1,Met-loss+Acetyl [N-Term]; Acetyl [N-Term]; Phospho [S211]
FALSE,High,Master Protein,P28072,Proteasome subunit beta type-6 OS=Homo sapiens OX=9606 GN=PSMB6 PE=1 SV=4,0,207.563,74,16,291,16,239,25.3,4.92,890.33,16,0,5027355796,9.701339622,0.904619106,High,1,
FALSE,High,Master Protein,P60709,"Actin, cytoplasmic 1 OS=Homo sapiens OX=9606 GN=ACTB PE=1 SV=1",0,499.674,78,27,194,1,375,41.7,5.48,561.39,27,33,4503234043,9.653524519,0.900160499,High,1,Met-loss+Acetyl [N-Term]; Phospho [T318]
FALSE,High,Master Protein,P49721,Proteasome subunit beta type-2 OS=Homo sapiens OX=9606 GN=PSMB2 PE=1 SV=1,0,384.863,93,22,267,21,201,22.8,7.02,733.8,22,1,4226482081,9.625979032,0.89759197,High,1,Acetyl [N-Term]
FALSE,High,Master Protein,P62979,Ubiquitin-40S ribosomal protein S27a OS=Homo sapiens OX=9606 GN=RPS27A PE=1 SV=2,0,196.99,65,15,103,15,156,18,9.64,252.43,15,0,3446657236,9.537398096,0.889332079,High,1,
FALSE,High,Master Protein,Q15386,Ubiquitin-protein ligase E3C OS=Homo sapiens OX=9606 GN=UBE3C PE=1 SV=3,0,862.377,61,67,225,67,1083,123.8,6.71,659.81,67,0,3175949513,9.50187359,0.886019532,High,1,Acetyl [N-Term]
FALSE,High,Master Protein,O75832,26S proteasome non-ATPase regulatory subunit 10 OS=Homo sapiens OX=9606 GN=PSMD10 PE=1 SV=1,0,390.398,87,20,295,19,226,24.4,6.1,885.39,20,1,2654013354,9.423903104,0.878749032,High,1,Acetyl [N-Term]
FALSE,High,Master Protein,Q05086,Ubiquitin-protein ligase E3A OS=Homo sapiens OX=9606 GN=UBE3A PE=1 SV=4,0,816.176,55,52,199,52,875,100.6,5.22,607.62,52,0,2386004823,9.377671317,0.874438065,High,1,
FALSE,High,Master Protein,O43707,Alpha-actinin-4 OS=Homo sapiens OX=9606 GN=ACTN4 PE=1 SV=2,0,838.238,69,61,218,41,911,104.8,5.44,660.9,61,19,1955418277,9.29123967,0.866378588,High,1,
FALSE,High,Master Protein,P07437,Tubulin beta chain OS=Homo sapiens OX=9606 GN=TUBB PE=1 SV=2,0,450.524,73,28,111,5,444,49.6,4.89,346.34,28,26,1598084065,9.203599621,0.858206432,High,1,
FALSE,High,Master Protein,P46940,Ras GTPase-activating-like protein IQGAP1 OS=Homo sapiens OX=9606 GN=IQGAP1 PE=1 SV=1,0,164.378,20,22,27,21,1657,189.1,6.48,75.85,22,0,1485271303,9.17180579,0.855241758,High,1,
FALSE,High,Master Protein,P68104,Elongation factor 1-alpha 1 OS=Homo sapiens OX=9606 GN=EEF1A1 PE=1 SV=1,0,316.943,61,21,68,13,462,50.1,9.01,230.59,21,7,1104759711,9.043267828,0.843256001,High,1,Acetyl [K408]
FALSE,High,Master Protein,O43776,"Asparagine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=NARS1 PE=1 SV=1",0,17.052,8,4,5,4,548,62.9,6.25,7.01,4,0,887186091.9,8.948014725,0.834373952,High,1,
FALSE,High,Master Protein,P54727,UV excision repair protein RAD23 homolog B OS=Homo sapiens OX=9606 GN=RAD23B PE=1 SV=1,0,315.139,53,17,72,14,409,43.1,4.84,246.35,17,2,829138003.2,8.918626821,0.831633623,High,1,Phospho [T159; S160]
FALSE,High,Master Protein,P07900,Heat shock protein HSP 90-alpha OS=Homo sapiens OX=9606 GN=HSP90AA1 PE=1 SV=5,0,345.439,49,36,89,24,732,84.6,5.02,235.66,36,11,785194394.9,8.894977191,0.82942837,High,1,Phospho [S263; S589]
FALSE,High,Master Protein,P06733,Alpha-enolase OS=Homo sapiens OX=9606 GN=ENO1 PE=1 SV=2,0,86.39,37,11,15,11,434,47.1,7.39,33.95,11,0,745324116.8,8.872345174,0.827318007,High,1,
FALSE,High,Master Protein,P78527,DNA-dependent protein kinase catalytic subunit OS=Homo sapiens OX=9606 GN=PRKDC PE=1 SV=3,0,476.874,22,75,96,74,4128,468.8,7.12,211.71,75,0,739082601.9,8.868692979,0.826977451,High,1,
