Checked,Protein FDR Confidence: Combined,Master,Accession,Description,Exp. q-value: Combined,Sum PEP Score,Coverage [%],# Peptides,# PSMs,# Unique Peptides,# AAs,MW [kDa],calc. pI,Score Sequest HT: Sequest HT,# Peptides (by Search Engine): Sequest HT,# Razor Peptides,Abundance: F2: Sample,Found in Sample: [S2] F2: Sample,# Protein Groups,Modifications
FALSE,High,Master Protein,Q99460,26S proteasome non-ATPase regulatory subunit 1 OS=Homo sapiens OX=9606 GN=PSMD1 PE=1 SV=2,0,970.636,74,72,2199,72,953,105.8,5.39,7044.5,72,0,10287275029,High,1,Acetyl [N-Term]; Methyl [K20; R649]; Phospho [T273; S277; S290; S294; S296; T311]
FALSE,High,Master Protein,Q13200,26S proteasome non-ATPase regulatory subunit 2 OS=Homo sapiens OX=9606 GN=PSMD2 PE=1 SV=3,0,1154.752,87,89,2187,89,908,100.1,5.2,6788.52,89,0,15553122828,High,1,Phospho [S16; S361]; Acetyl [K27; K31]; Methyl [K27; K31]; Acetyl [N-Term]
FALSE,High,Master Protein,P43686,26S proteasome regulatory subunit 6B OS=Homo sapiens OX=9606 GN=PSMC4 PE=1 SV=2,0,800.208,93,51,1741,50,418,47.3,5.21,5679.32,51,0,8812957706,High,1,Phospho [T25]; Acetyl [K159; K409]; Acetyl [N-Term]
FALSE,High,Master Protein,P62195,26S proteasome regulatory subunit 8 OS=Homo sapiens OX=9606 GN=PSMC5 PE=1 SV=1,0,444.613,83,42,1463,40,406,45.6,7.55,4680.85,42,0,9349654988,High,1,Met-loss+Acetyl [N-Term]
FALSE,High,Master Protein,O00231,26S proteasome non-ATPase regulatory subunit 11 OS=Homo sapiens OX=9606 GN=PSMD11 PE=1 SV=3,0,362.985,77,40,1396,40,422,47.4,6.48,3801.37,40,0,7482983053,High,1,Phospho [S14; Y253]; Met-loss+Acetyl [N-Term]; Methyl [K258]
FALSE,High,Master Protein,O43242,26S proteasome non-ATPase regulatory subunit 3 OS=Homo sapiens OX=9606 GN=PSMD3 PE=1 SV=2,0,495.68,75,55,1370,55,534,60.9,8.44,4125.55,55,0,7686210538,High,1,Acetyl [K16; K38; K354]; Phospho [T43; S47; T369]; Methyl [R287; R349; R355]
FALSE,High,Master Protein,P62191,26S proteasome regulatory subunit 4 OS=Homo sapiens OX=9606 GN=PSMC1 PE=1 SV=1,0,616.633,86,53,1293,51,440,49.2,6.21,4501.11,53,3,11703086356,High,1,Phospho [T53]; Methyl [K86]
FALSE,High,Master Protein,O00232,26S proteasome non-ATPase regulatory subunit 12 OS=Homo sapiens OX=9606 GN=PSMD12 PE=1 SV=3,0,413.643,78,50,1169,50,456,52.9,7.65,3371.86,50,0,5708995615,High,1,Acetyl [K15; K98; K330]; Phospho [T146; T148; T151]; Methyl [K147; K153; K160]
FALSE,High,Master Protein,P35998,26S proteasome regulatory subunit 7 OS=Homo sapiens OX=9606 GN=PSMC2 PE=1 SV=3,0,448.637,86,46,1120,45,433,48.6,5.95,3301.51,46,0,13703255900,High,1,Methyl [K169]; Acetyl [K169]; Met-loss [N-Term]; Met-loss+Acetyl [N-Term]
FALSE,High,Master Protein,P17980,26S proteasome regulatory subunit 6A OS=Homo sapiens OX=9606 GN=PSMC3 PE=1 SV=3,0,506.674,81,38,1079,38,439,49.2,5.24,3346.33,38,0,6368768512,High,1,Methyl [R13; R180]; Acetyl [N-Term]; Phospho [S9; T19]
FALSE,High,Master Protein,P62333,26S proteasome regulatory subunit 10B OS=Homo sapiens OX=9606 GN=PSMC6 PE=1 SV=1,0,351.207,80,35,902,35,389,44.1,7.49,2789.21,35,0,5147029289,High,1,Acetyl [K42]; Phospho [T37; Y40]; Methyl [K38]
FALSE,High,Master Protein,P25787,Proteasome subunit alpha type-2 OS=Homo sapiens OX=9606 GN=PSMA2 PE=1 SV=2,0,268.637,71,19,789,19,234,25.9,7.43,2919.26,19,0,1989244419,High,1,Met-loss+Acetyl [N-Term]; Phospho [T12; S14; S16]; Acetyl [K18]; Acetyl [N-Term]
FALSE,High,Master Protein,P51665,26S proteasome non-ATPase regulatory subunit 7 OS=Homo sapiens OX=9606 GN=PSMD7 PE=1 SV=2,0,217.946,54,18,786,18,324,37,6.77,2679.53,18,0,2772244793,High,1,Met-loss [N-Term]
FALSE,High,Master Protein,Q15008,26S proteasome non-ATPase regulatory subunit 6 OS=Homo sapiens OX=9606 GN=PSMD6 PE=1 SV=1,0,305.98,71,37,778,37,389,45.5,5.62,2158.65,37,0,5243017716,High,1,Met-loss [N-Term]; Met-loss+Acetyl [N-Term]
FALSE,High,Master Protein,Q9UNM6,26S proteasome non-ATPase regulatory subunit 13 OS=Homo sapiens OX=9606 GN=PSMD13 PE=1 SV=2,0,321.65,80,29,702,29,376,42.9,5.81,2167.81,29,0,6225084126,High,1,Methyl [K2]
FALSE,High,Master Protein,P25786,Proteasome subunit alpha type-1 OS=Homo sapiens OX=9606 GN=PSMA1 PE=1 SV=1,0,248.083,81,29,623,29,263,29.5,6.61,1819.01,29,0,3552467047,High,1,Methyl [K256]; Acetyl [N-Term]
FALSE,High,Master Protein,Q16401,26S proteasome non-ATPase regulatory subunit 5 OS=Homo sapiens OX=9606 GN=PSMD5 PE=1 SV=3,0,406.658,84,40,623,40,504,56.2,5.48,1935.41,40,0,3779881764,High,1,Met-loss+Acetyl [N-Term]
FALSE,High,Master Protein,P54578,Ubiquitin carboxyl-terminal hydrolase 14 OS=Homo sapiens OX=9606 GN=USP14 PE=1 SV=3,0,508.135,78,39,601,39,494,56,5.3,2046.64,39,0,2062345915,High,1,Met-loss [N-Term]
FALSE,High,Master Protein,P28074,Proteasome subunit beta type-5 OS=Homo sapiens OX=9606 GN=PSMB5 PE=1 SV=3,0,243.093,65,20,554,20,263,28.5,6.92,1898.77,20,0,2677829857,High,1,
FALSE,High,Master Protein,P60900,Proteasome subunit alpha type-6 OS=Homo sapiens OX=9606 GN=PSMA6 PE=1 SV=1,0,199.922,78,21,540,21,246,27.4,6.76,1818.84,21,0,3518956238,High,1,
FALSE,High,Master Protein,P28066,Proteasome subunit alpha type-5 OS=Homo sapiens OX=9606 GN=PSMA5 PE=1 SV=3,0,238.864,71,15,538,15,241,26.4,4.79,1858.51,15,0,2788330851,High,1,
FALSE,High,Master Protein,O14818,Proteasome subunit alpha type-7 OS=Homo sapiens OX=9606 GN=PSMA7 PE=1 SV=1,0,236.92,72,22,537,22,248,27.9,8.46,1779.68,22,0,3709593515,High,1,
FALSE,High,Master Protein,P20618,Proteasome subunit beta type-1 OS=Homo sapiens OX=9606 GN=PSMB1 PE=1 SV=2,0,193.998,62,15,502,15,241,26.5,8.13,1267.63,15,0,1934310676,High,1,
FALSE,High,Master Protein,O00487,26S proteasome non-ATPase regulatory subunit 14 OS=Homo sapiens OX=9606 GN=PSMD14 PE=1 SV=1,0,316.287,65,18,470,18,310,34.6,6.52,1344.2,18,0,4702341406,High,1,Phospho [T20]
FALSE,High,Master Protein,P25788,Proteasome subunit alpha type-3 OS=Homo sapiens OX=9606 GN=PSMA3 PE=1 SV=2,0,103.581,54,17,456,17,255,28.4,5.33,1155.15,17,0,2251676127,High,1,Phospho [S250]; Met-loss+Acetyl [N-Term]
FALSE,High,Master Protein,P48556,26S proteasome non-ATPase regulatory subunit 8 OS=Homo sapiens OX=9606 GN=PSMD8 PE=1 SV=2,0,223.864,58,23,434,23,350,39.6,9.7,1191.09,23,0,3257846339,High,1,Methyl [K63; K243; K324]; Acetyl [K63]
FALSE,High,Master Protein,P49720,Proteasome subunit beta type-3 OS=Homo sapiens OX=9606 GN=PSMB3 PE=1 SV=2,0,142.279,60,16,422,16,205,22.9,6.55,1218.62,16,0,1377404503,High,1,Met-loss+Acetyl [N-Term]
FALSE,High,Master Protein,P28070,Proteasome subunit beta type-4 OS=Homo sapiens OX=9606 GN=PSMB4 PE=1 SV=4,0,202.422,55,11,408,11,264,29.2,5.97,1533.34,11,0,2057789776,High,1,
FALSE,High,Master Protein,O75832,26S proteasome non-ATPase regulatory subunit 10 OS=Homo sapiens OX=9606 GN=PSMD10 PE=1 SV=1,0,260.457,71,15,408,15,226,24.4,6.1,1225.71,15,0,864795260.3,High,1,Acetyl [N-Term]
FALSE,High,Master Protein,Q9Y5K5,Ubiquitin carboxyl-terminal hydrolase isozyme L5 OS=Homo sapiens OX=9606 GN=UCHL5 PE=1 SV=3,0,396.204,91,27,402,27,329,37.6,5.33,1332.75,27,0,1292663756,High,1,Phospho [Y231; T250]; Met-loss+Acetyl [N-Term]; Acetyl [N-Term]; Acetyl [K158]
FALSE,High,Master Protein,P55036,26S proteasome non-ATPase regulatory subunit 4 OS=Homo sapiens OX=9606 GN=PSMD4 PE=1 SV=1,0,211.223,41,13,377,13,377,40.7,4.79,1219.03,13,0,1535354953,High,1,Met-loss [N-Term]
FALSE,High,Master Protein,P49721,Proteasome subunit beta type-2 OS=Homo sapiens OX=9606 GN=PSMB2 PE=1 SV=1,0,190.392,76,21,356,21,201,22.8,7.02,1008.66,21,0,1940824826,High,1,Acetyl [N-Term]; Methyl [K29]
FALSE,High,Master Protein,P28072,Proteasome subunit beta type-6 OS=Homo sapiens OX=9606 GN=PSMB6 PE=1 SV=4,0,129.417,58,11,313,11,239,25.3,4.92,1001.47,11,0,1438235865,High,1,
FALSE,High,Master Protein,Q99436,Proteasome subunit beta type-7 OS=Homo sapiens OX=9606 GN=PSMB7 PE=1 SV=1,0,266.639,61,14,301,14,277,29.9,7.68,960.63,14,0,1624946630,High,1,
FALSE,High,Master Protein,P25789,Proteasome subunit alpha type-4 OS=Homo sapiens OX=9606 GN=PSMA4 PE=1 SV=1,0,252.018,77,19,296,19,261,29.5,7.72,930.94,19,0,3194876697,High,1,
FALSE,High,Master Protein,Q16186,Proteasomal ubiquitin receptor ADRM1 OS=Homo sapiens OX=9606 GN=ADRM1 PE=1 SV=2,0,127.834,33,16,252,16,407,42.1,5.07,778.19,16,0,1366870292,High,1,Met-loss+Acetyl [N-Term]
FALSE,High,Master Protein,O43396,Thioredoxin-like protein 1 OS=Homo sapiens OX=9606 GN=TXNL1 PE=1 SV=3,0,271.999,70,21,211,21,289,32.2,4.96,784.99,21,0,777521566.4,High,1,Met-loss [N-Term]; Acetyl [N-Term]
FALSE,High,Master Protein,P04264,"Keratin, type II cytoskeletal 1 OS=Homo sapiens OX=9606 GN=KRT1 PE=1 SV=6",0,235.327,59,39,209,33,644,66,8.12,598.66,39,5,796144097.4,High,1,
FALSE,High,Master Protein,Q14997,Proteasome activator complex subunit 4 OS=Homo sapiens OX=9606 GN=PSME4 PE=1 SV=2,0,267.844,36,51,188,51,1843,211.2,6.9,558.54,51,0,233923583.9,High,1,
FALSE,High,Master Protein,P35527,"Keratin, type I cytoskeletal 9 OS=Homo sapiens OX=9606 GN=KRT9 PE=1 SV=3",0,178.688,57,22,142,21,623,62,5.24,432.2,22,0,303718440.8,High,1,
FALSE,High,Master Protein,Q9BRP4,Proteasomal ATPase-associated factor 1 OS=Homo sapiens OX=9606 GN=PAAF1 PE=1 SV=2,0,122.245,63,22,138,22,392,42.2,6.32,342.09,22,0,407146650.4,High,1,
FALSE,High,Master Protein,P13645,"Keratin, type I cytoskeletal 10 OS=Homo sapiens OX=9606 GN=KRT10 PE=1 SV=6",0,183.118,51,23,98,19,584,58.8,5.21,302.69,23,5,218336936.9,High,1,
FALSE,High,Master Protein,Q8WVY7,Ubiquitin-like domain-containing CTD phosphatase 1 OS=Homo sapiens OX=9606 GN=UBLCP1 PE=1 SV=2,0,64.33,43,15,96,15,318,36.8,6.46,239.13,15,0,179971716.3,High,1,
FALSE,High,Master Protein,P08238,Heat shock protein HSP 90-beta OS=Homo sapiens OX=9606 GN=HSP90AB1 PE=1 SV=4,0,95.034,32,21,83,12,724,83.2,5.03,226.07,21,9,139214830.4,High,1,
FALSE,High,Master Protein,P63261,"Actin, cytoplasmic 2 OS=Homo sapiens OX=9606 GN=ACTG1 PE=1 SV=1",0,135.289,68,19,71,1,375,41.8,5.48,233.13,19,0,,High,1,Met-loss+Acetyl [N-Term]
FALSE,High,Master Protein,Q00610,Clathrin heavy chain 1 OS=Homo sapiens OX=9606 GN=CLTC PE=1 SV=5,0,141.085,26,31,69,31,1675,191.5,5.69,192.4,31,0,63046540.5,High,1,Met-loss+Acetyl [N-Term]
FALSE,High,Master Protein,P62701,"40S ribosomal protein S4, X isoform OS=Homo sapiens OX=9606 GN=RPS4X PE=1 SV=2",0,63.554,62,19,68,19,263,29.6,10.15,163.08,19,0,313072772.9,High,1,
FALSE,High,Master Protein,P07900,Heat shock protein HSP 90-alpha OS=Homo sapiens OX=9606 GN=HSP90AA1 PE=1 SV=5,0,83.12,32,20,66,9,732,84.6,5.02,169.42,20,1,27929493.06,High,1,Phospho [S231]
FALSE,High,Master Protein,P60709,"Actin, cytoplasmic 1 OS=Homo sapiens OX=9606 GN=ACTB PE=1 SV=1",0,124.279,68,19,66,1,375,41.7,5.48,209.38,19,17,118883066.7,High,1,Met-loss+Acetyl [N-Term]
FALSE,High,Master Protein,Q15386,Ubiquitin-protein ligase E3C OS=Homo sapiens OX=9606 GN=UBE3C PE=1 SV=3,0,102.387,27,27,65,27,1083,123.8,6.71,142.44,27,0,61628828.75,High,1,Acetyl [N-Term]
FALSE,High,Master Protein,P62979,Ubiquitin-40S ribosomal protein S27a OS=Homo sapiens OX=9606 GN=RPS27A PE=1 SV=2,0,41.157,54,8,63,8,156,18,9.64,165.2,8,0,156579604.5,High,1,
FALSE,High,Master Protein,P68104,Elongation factor 1-alpha 1 OS=Homo sapiens OX=9606 GN=EEF1A1 PE=1 SV=1,0,64.388,45,15,63,15,462,50.1,9.01,176.07,15,0,109216208,High,1,Methyl [K165; R166]
FALSE,High,Master Protein,Q02952,A-kinase anchor protein 12 OS=Homo sapiens OX=9606 GN=AKAP12 PE=1 SV=4,0,141.636,28,35,59,35,1782,191.4,4.41,168.98,35,0,44737972.19,High,1,
FALSE,High,Master Protein,P02538,"Keratin, type II cytoskeletal 6A OS=Homo sapiens OX=9606 GN=KRT6A PE=1 SV=3",0,65.208,36,20,58,3,564,60,8,149.59,20,10,64489842.25,High,1,
FALSE,High,Master Protein,Q7L2H7,Eukaryotic translation initiation factor 3 subunit M OS=Homo sapiens OX=9606 GN=EIF3M PE=1 SV=1,0,65.282,45,14,57,14,374,42.5,5.63,163.36,14,0,35289969.59,High,1,Met-loss+Acetyl [N-Term]
FALSE,High,Master Protein,P08779,"Keratin, type I cytoskeletal 16 OS=Homo sapiens OX=9606 GN=KRT16 PE=1 SV=4",0,82.772,48,20,56,9,473,51.2,5.05,119.96,20,7,53656597.13,High,1,
FALSE,High,Master Protein,P63244,Receptor of activated protein C kinase 1 OS=Homo sapiens OX=9606 GN=RACK1 PE=1 SV=3,0,88.862,63,16,55,16,317,35.1,7.69,157.76,16,0,71137944.38,High,1,
FALSE,High,Master Protein,P35908,"Keratin, type II cytoskeletal 2 epidermal OS=Homo sapiens OX=9606 GN=KRT2 PE=1 SV=2",0,72.839,39,23,54,17,639,65.4,8,125.13,23,3,86253919.31,High,1,
FALSE,High,Master Protein,P23396,40S ribosomal protein S3 OS=Homo sapiens OX=9606 GN=RPS3 PE=1 SV=2,0,56.989,66,17,54,17,243,26.7,9.66,137.21,17,0,89635545.31,High,1,
FALSE,High,Master Protein,P07437,Tubulin beta chain OS=Homo sapiens OX=9606 GN=TUBB PE=1 SV=2,0,82.619,47,15,52,2,444,49.6,4.89,154.3,15,12,61139183.75,High,1,
FALSE,High,Master Protein,P62241,40S ribosomal protein S8 OS=Homo sapiens OX=9606 GN=RPS8 PE=1 SV=2,0,50.285,53,10,50,10,208,24.2,10.32,150.09,10,0,71393629.56,High,1,
FALSE,High,Master Protein,P04259,"Keratin, type II cytoskeletal 6B OS=Homo sapiens OX=9606 GN=KRT6B PE=1 SV=5",0,62.807,35,19,50,2,564,60,8,128.31,19,0,1952217.75,High,1,
FALSE,High,Master Protein,P02533,"Keratin, type I cytoskeletal 14 OS=Homo sapiens OX=9606 GN=KRT14 PE=1 SV=4",0,57.179,37,18,49,8,472,51.5,5.16,106.29,18,0,13326716.97,High,1,
FALSE,High,Master Protein,P06748,Nucleophosmin OS=Homo sapiens OX=9606 GN=NPM1 PE=1 SV=2,0,91.08,52,10,47,10,294,32.6,4.78,150.5,10,0,92190967.75,High,1,Acetyl [N-Term]; Phospho [S4]
FALSE,High,Master Protein,P29692,Elongation factor 1-delta OS=Homo sapiens OX=9606 GN=EEF1D PE=1 SV=5,0,58.352,59,13,45,12,281,31.1,5.01,102.69,13,0,46940826.13,High,1,Phospho [S133; S162]; Met-loss+Acetyl [N-Term]
